make,cell,batch,q_over_nameplate,v_top,v_bot,v_plat,monotone,r0_median,tau_median,self_disch_dsoc_per_day,n_flags,passes
CALB,0001,2,0.7321111111111112,3.520333,2.499998,3.262834,True,0.8852466989761502,679.8881038026499,0.0120517614433899,1,False
CALB,0002,2,0.7926388888888889,3.546772,2.5,3.264406,True,0.7870487276608564,717.6128072452977,0.0121216346492181,1,False
CALB,0003,2,0.7913472222222222,3.544155,2.499996,3.267051,True,0.6281835730229506,735.645218158909,0.0122915257738321,1,False
CALB,0004,2,0.6341388888888889,3.516356,2.499995,3.2543550000000003,True,1.0452810212432087,699.5314749541944,0.011573815447523,1,False
CALB,0005,2,0.7010000000000001,3.524517,2.499997,3.263937,True,,,,2,False
CALB,0006,2,0.7447916666666666,3.527642,2.5002,3.2656775000000002,True,0.4269560912403961,689.1153846109828,,1,False
CALB,0007,2,0.6962083333333333,3.526404,2.499995,3.260879,True,0.7115755204773233,668.7121627951898,,0,True
CALB,0008,2,0.7072638888888889,3.53302,2.499998,3.259197,True,0.9260532160281263,695.5964958455122,,0,True
CALB,0009,2,0.7468194444444445,3.534277,2.499999,3.264636,True,0.3504260446453921,709.5798244073665,,1,False
CALB,0010,2,0.7301388888888889,3.527706,2.499994,3.264425,True,0.7945506196841661,706.8669158068005,,0,True
CALB,0011,2,0.7949444444444445,3.543223,2.499995,3.268543,True,0.6976851515721917,735.6757747380507,0.012163751922107,1,False
CALB,0012,2,0.704763888888889,3.532529,2.500159,3.260001,True,0.8903578835956866,687.9323098396904,0.0118697483853776,1,False
CALB,0013,2,0.6812777777777778,3.531179,2.5,3.256446,True,0.8169392108215797,698.8717682394836,0.0116943643167743,1,False
CALB,0014,2,0.6449583333333333,3.520468,2.500059,3.2527440000000003,True,0.7938547731029223,710.418718550002,0.0117429820933691,2,False
CALB,0015,2,0.7784722222222222,3.55707,2.499998,3.2681925,True,0.713213315199619,715.3701912775291,0.0119698068901579,1,False
CALB,0016,2,0.810875,3.53608,2.500628,3.268964,True,0.7723261080114305,731.8154050683395,,0,True
CALB,0017,2,0.7159861111111111,3.529581,2.500423,3.261576,True,0.6904337802681291,702.3573053751635,,0,True
CALB,0018,2,0.7532777777777777,3.538079,2.5,3.2622375,True,0.9651928150892264,722.912967677108,0.0118186514270429,2,False
CALB,0019,2,0.60975,3.511566,2.499998,3.256541,True,0.8690800977233729,728.4080445760278,0.0119469784423606,2,False
CALB,0020,2,0.5132361111111111,3.540463,2.500201,3.2366975,True,1.4136239560217398,831.2183783210141,0.0124773171878687,1,False
CALB,0021,2,0.7726111111111111,3.536169,2.499998,3.265351,True,0.6211835221141786,725.3675540266242,0.0123852332831263,1,False
CALB,0022,2,0.7476111111111111,3.538092,2.499995,3.262989,True,0.778716619028174,694.4770734518662,0.0119930995322345,1,False
CALB,0023,2,0.7694861111111111,3.55469,2.499997,3.264434,True,0.7676036012323578,714.45250828047,0.0120111730330791,1,False
CALB,0024,2,0.6595972222222222,3.525355,2.500107,3.2567299999999997,True,1.053000856108409,706.7028209007142,0.011780628723591,1,False
CALB,0027,2,0.7654444444444445,3.546358,2.499994,3.264863,True,0.6543791909748827,712.0402719588778,0.011986330407173,2,False
CALB,0029,2,0.6482777777777778,3.51925,2.500446,3.252111,True,0.987947002659399,705.325041038307,0.0115720542758263,1,False
CALB,0030,2,0.5470833333333334,3.514984,2.500013,3.2545935,True,1.0502232559455211,757.2910223972945,0.0120131809505756,1,False
EVE,0001,1,0.9894095238095238,3.580609,2.499984,3.2679915,True,0.3927500818137926,,,2,False
EVE,0002,1,0.9930571428571429,3.578511,2.5,3.265865,True,1.2916048528244197,657.9535603232346,,0,True
EVE,0003,1,0.9940285714285715,3.580602,2.500256,3.26781825,True,0.4533035774884301,,,1,False
EVE,0004,1,0.9885809523809524,3.580149,2.499997,3.267828,True,0.6251741969734537,657.5655573597905,,0,True
EVE,0005,1,0.9859333333333333,3.573528,2.499998,3.2646035,True,0.6222017538123139,745.9042861728868,0.004604260307061,1,False
EVE,0006,1,0.9928190476190476,3.577256,2.499999,3.2659445000000003,True,2.8313486188024752,727.2312229447432,0.0044380076458601,1,False
EVE,0007,1,0.9931238095238096,3.573958,2.50035,3.264776,True,1.1515065171088243,744.4180267905622,0.0047674000606473,0,True
EVE,0008,1,0.9906095238095237,3.577833,2.500774,3.265368,True,1.528130498239386,668.6011741615221,0.0042210370411612,0,True
REPT,0001,1,1.0112266666666667,3.481309,2.499992,3.267573,True,0.33495230856013175,792.466520563128,0.0020921122157789,1,False
REPT,0001,2,0.9970533333333332,3.580523,2.5,3.265725,True,0.648890520678307,,0.0054163767700212,2,False
REPT,0002,2,0.9921133333333334,3.577126,2.500362,3.263752,True,0.9138825831601839,,0.0117977975248152,2,False
REPT,0003,1,1.01674,3.478703,2.500218,3.267928,True,0.24741709194480913,805.838160931977,0.0039968993730313,1,False
REPT,0003,2,0.9999000000000001,3.583056,2.499989,3.268239,True,0.43375522218526313,,0.0058961543490922,3,False
REPT,0004,1,1.0236266666666667,3.487051,2.499993,3.2682485,True,0.5892245886634068,808.1344583378495,0.0007777274643515371,0,True
REPT,0004,2,1.0147333333333335,3.573103,2.500297,3.268069,True,0.4317665916366282,,0.0071089636334699,3,False
REPT,0007,1,0.9879,3.471976,2.499991,3.263527,True,0.5978117181381684,794.4464143608874,0.004226827633113,1,False
REPT,0007,2,0.9670000000000001,3.584529,2.499995,3.2649855,True,0.5102082631794193,,0.0131624163886562,3,False
REPT,0011,1,1.0219,3.481035,2.500123,3.267382,True,0.5386360412504988,804.7901317568933,0.000590686459765233,1,False
REPT,0011,2,1.0019200000000001,3.583612,2.499996,3.267853,True,0.45519432000050214,,0.0048327661942426,1,False
REPT,0012,1,0.9919466666666666,3.472196,2.499998,3.26715,True,0.4761944035456321,803.4133706537552,0.0006214637866116277,1,False
REPT,0012,2,0.9919133333333334,3.580072,2.500102,3.2673245,True,0.49956810997795287,,0.0059501336818268,2,False
REPT,0025,1,0.9972933333333333,3.47526,2.499992,3.26583125,True,0.6923842610926738,812.5878757626828,0.0002590067140296717,0,True
REPT,0025,2,1.0056,3.580024,2.499988,3.26595125,True,0.6815843773454857,,0.0054544816539765,2,False
REPT,0028,2,0.9796266666666665,3.580539,2.500099,3.265915,True,0.5275152609679844,,0.012717202533106,2,False
REPT,0028,3,,,,,,,,,5,False
