make,cell,Q/Q_nom,R0 (mΩ),R1 (mΩ),τ_diff (s),dV/√t (V/√s),V_plat (V),SoH_first,fade (pp),n_cy,dSoC/day (optional)
CALB,0003,0.791342252142447,1.0458819209570749,0.5820669127845945,877.5982230762366,-0.0008163122710494,3.2670615,0.6357555555555555,4.281666666666661,402.0,0.007839611173847
CALB,0008,0.706910845779016,1.370210246964805,0.7691125526463827,876.2968314756847,-0.0009629401018372,3.259194,0.6004194444444445,6.1083333333333485,402.0,
CALB,0009,0.7468767289282487,1.1223399115372596,0.6379473715995988,871.7745461186596,-0.0008903355646657,3.264646,0.7019305555555555,5.20194444444444,402.0,
CALB,0010,0.7301554261994254,1.3315934818051791,0.7237507362649627,866.8087030933019,-0.0008406495328687,3.264438,0.7661027777777778,4.423888888888894,401.0,
CALB,0015,0.7784559477394636,1.046561718450902,0.5965576942101939,879.3841362345379,-0.0009055619445923,3.268204,0.7951277777777778,2.9744444444444462,402.0,0.0090650132933864
EVE,0002,0.993047024370751,1.7171816163850462,0.346885585595991,813.9012903671362,-0.0010822272340062,3.265863,0.9890247702598571,0.1918125152587824,150.0,
EVE,0004,0.9886693535952485,0.794400919888784,0.3526579661941407,843.9143101271634,-0.000924329876019,3.267831,0.9607828617095947,0.13047695159912331,150.0,
EVE,0008,0.9906064528696956,1.777894842903024,0.3768647103515476,819.4789932595323,-0.0010250486894666,3.265372,0.9546914339065552,1.5089523792266912,150.0,0.0064071107361786
REPT,0004,1.023652753137765,0.8103297007974006,0.2373264035870761,833.865254688996,-0.0012576665170621,3.268164,0.6322746666666668,0.39600000000000746,205.0,0.0049537374673123
REPT,0007,0.9878524488062336,1.0529788161065938,0.2478469997523757,822.0449554266878,-0.0012931217205314,3.264158,0.9904,2.5579999999999825,205.0,0.0077287670430003
REPT,0012,0.9919359759163492,0.7644455089667582,0.229907977207369,831.2360590525352,-0.0012709208643323,3.267211,0.6300413333333333,0.26973333333333294,210.0,0.0042560734953175
REPT,0046,1.0244038017550952,0.7397562259136141,0.2210371381113788,840.224275075416,-0.0012787480050943,3.267691,0.6195213333333334,0.7618666666666662,213.0,0.0051296145436527
REPT,0057,0.9714016799228873,0.8590309525129398,0.225462991716648,825.8127548210412,-0.0013845057189779,3.26509,0.9761906666666667,1.9042666666666541,215.0,0.0058240446626743
