make,cell,nom_Ah,x_100,x_0,y_100,y_0,Q_n,Q_p,Q_rpt,R0_mΩ,R1_mΩ,D_s,RMSE_up_mV,RMSE_full_mV,pass_gate,bound_clip
CALB,0003,72.0,0.6791528766819837,0.1318048022742148,0.010168215164733065,0.9768373912205313,104.09581182121626,58.94120094604876,56.97664215425618,1.0458819209570749,0.5820669127845945,3.104883223724684e-14,3.5799483029327512,5.045068940312544,True,False
CALB,0008,72.0,0.65494162215771,0.08134928052806317,0.1,0.6,88.73476370253275,101.7951617921783,50.89758089608915,1.370210246964805,0.7691125526463827,3.1094942970538497e-14,1.2698665207943827,14.545374743344228,True,True
CALB,0009,72.0,0.664254933833609,0.12784656266427513,0.013102815582478859,0.978235452075238,100.25034539563165,55.71785933822512,53.77512448283391,1.1223399115372596,0.6379473715995988,3.125624637851166e-14,3.3526209330117793,4.671244056080659,True,False
CALB,0010,72.0,0.6604670436754607,0.126240751960429,0.015988381373896434,0.9778485965117761,98.40622129919669,54.65574920241681,52.57119068635863,1.3315934818051791,0.7237507362649627,3.1435309662629247e-14,3.432670231968613,4.815893148042361,True,False
CALB,0015,72.0,0.6740455029007648,0.1351505714905899,0.011686534131176091,0.9792516852445498,104.00696865077828,57.92770458169788,56.04882823724138,1.046561718450902,0.5965576942101939,3.098577615543051e-14,4.420128398531244,5.3680658668792125,True,False
EVE,0002,105.0,0.8776012058718935,0.12298127802376042,0.017046035472075716,0.9501790917292853,138.17543601884992,111.74176807877205,104.26993755892886,1.7171816163850462,0.346885585595991,3.347875267246319e-14,1.8667127877832563,6.686502716162441,True,False
EVE,0004,105.0,0.87981731836131,0.12769181707923438,0.009233378849345667,0.9522816042979192,138.02255335119702,110.07950529584248,103.8102821275011,0.794400919888784,0.3526579661941407,3.2288112279899764e-14,1.344387309807003,6.905001754942251,True,False
EVE,0008,105.0,0.8800295068526914,0.12204792275798222,0.017268481191052384,0.9494305705258113,137.22454441362999,111.5832522491317,104.01367755131804,1.777894842903024,0.3768647103515476,3.325088284645061e-14,1.463792601377468,6.628779227904211,True,False
REPT,0004,150.0,0.8900571797299801,0.12761368754491276,0.013843574068528762,0.9670434111688078,201.3892367690302,161.08680152293306,153.54791297066475,0.8103297007974006,0.2373264035870761,3.267722194536424e-14,2.449790477168853,12.476109299225614,True,False
REPT,0007,150.0,0.878566276143009,0.10860550557331154,0.03138880730667459,0.9717108473612676,192.44859346703802,157.58204211860456,148.17786732093504,1.0529788161065938,0.2478469997523757,3.314709228506431e-14,3.895810164592727,24.169098272459742,True,False
REPT,0012,150.0,0.8755193954648027,0.12673661033152,0.0218816140777791,0.9545663534582902,198.7096917044745,159.52914216895937,148.79039638745238,0.7644455089667582,0.229907977207369,3.2780579840410735e-14,2.6310470493407054,7.325534682639361,True,False
REPT,0046,150.0,0.8943199423539128,0.13138683112001032,0.01481197338160188,0.9647230234095305,201.40765684523365,161.76311482927423,153.66057026326428,0.7397562259136141,0.2210371381113788,3.24299128319689e-14,2.430140298221368,11.134619513828278,True,False
REPT,0057,150.0,0.8610733895622923,0.120774584010765,0.012738937954580552,0.9735776818470608,196.82626919798696,151.64901802163212,145.7102519884331,0.8590309525129398,0.225462991716648,3.29958575245122e-14,1.9795136019076391,17.714113987140774,True,False
